"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2783","nothing loads until Load Report is clicked (smoke)","chromium","2026-06-10","passed","2026-06-10","Revenue report","reports.spec.ts","",""
"","13120","app pages tour","chromium","2026-06-10","passed","2026-06-10","","visual-tour.spec.ts","",""
"","3385","adds a line and computes totals","chromium","2026-06-10","passed","2026-06-10","Sale invoice — create","sale-invoices.spec.ts","",""
"","2489","renders pending/adjusted state (smoke)","chromium","2026-06-10","passed","2026-06-10","Supplier expenses","expenses.spec.ts","",""
"","2307","redirects /warehouse to /login when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","109","returns 401 for /api/vendors when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","2585","sends the right credentials and shows the success toast","chromium","2026-06-10","passed","2026-06-10","Login page","login.spec.ts","",""
"","2284","redirects /groups to /login when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","3278","redirects /sales/new to /login when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","1447","renders the customer list (smoke)","chromium","2026-06-10","passed","2026-06-10","Customers — manager","customers.spec.ts","",""
"","2647","redirects /purchases to /login when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","4230","creates a group","chromium","2026-06-10","passed","2026-06-10","Groups — manager","groups.spec.ts","",""
"","3632","loads and displays revenue totals","chromium","2026-06-10","passed","2026-06-10","Revenue report","reports.spec.ts","",""
"","2301","requires a party","chromium","2026-06-10","passed","2026-06-10","Payments","payments.spec.ts","",""
"","3504","records a vendor payment","chromium","2026-06-10","passed","2026-06-10","Payments","payments.spec.ts","",""
"","2378","redirects /reports/revenue to /login when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","3522","validates required fields with toasts","chromium","2026-06-10","passed","2026-06-10","Inventory add — manager","inventory.spec.ts","",""
"","3247","redirects /sales to /login when logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","4425","hides write controls","chromium","2026-06-10","passed","2026-06-10","Vendors — cashier","vendors.spec.ts","",""
"","2718","renders godam management (smoke)","chromium","2026-06-10","passed","2026-06-10","Warehouse","warehouse.spec.ts","",""
"","3816","adds a product as a godam-tied line","chromium","2026-06-10","passed","2026-06-10","POS terminal","pos.spec.ts","",""
"","1473","allows /login while logged out","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","152","/api/me returns 401 without a token","chromium","2026-06-10","passed","2026-06-10","Auth — route protection (no DB)","auth.spec.ts","",""
"","4534","completes a sale","chromium","2026-06-10","passed","2026-06-10","POS terminal","pos.spec.ts","",""
